,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,Cs,D
AAA,96.79,2.71,0.42,0,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0
AA+,6.45,85.16,6.61,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA,0,6.22,85.17,6.74,0.52,0.42,0.1,0.52,0,0,0,0.31,0,0,0,0,0,0
AA-,0,0,7.82,83.45,7.16,0.17,0.5,0.17,0,0.17,0.44,0,0,0.11,0,0,0,0
A+,0,0,0.07,13.35,73.28,9.3,2.03,1.12,0.14,0.63,0.07,0,0,0,0,0,0,0.01
A,0,0,0,1.15,12.33,77.29,5.71,1.68,0.77,0.96,0.1,0,0,0,0,0,0,0.01
A-,0,0,0,0,0.94,11.47,77.82,6.94,0.41,1.57,0.67,0.16,0,0,0,0,0,0.02
BBB+,0,0,0,0,0,2.16,12.39,70.86,11.24,2.41,0.6,0.24,0.06,0,0,0,0,0.04
BBB,0,0,0,0,0,0,1.87,16.6,68.05,11.16,0.99,0.11,0,0.5,0.22,0.11,0.33,0.06
BBB-,0,0,0,0,0,0,0,0.93,14.94,74.69,6.5,2.13,0.27,0.08,0.15,0.12,0.08,0.11
BB+,0,0,0,0,0,0,0,0,0.54,20.57,66.38,9.93,1.14,0.18,0.06,0,1.02,0.18
BB,0,0,0,0,0,0,0,0,0,0.78,14.2,70.8,11.15,1.8,0.68,0.15,0.05,0.4
BB-,0,0,0,0,0,0,0,0,0,0,1.03,10.55,73.79,11.47,1.19,0.46,0.61,0.9
B+,0,0,0,0,0,0,0,0,0,0.03,0.03,0.92,10.2,68.7,15.3,2.5,0.85,1.46
B,0,0,0,0,0,0,0,0,0,0,0,0,0.61,13.5,70.77,9.84,2.91,2.38
B-,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,15.07,66.85,8.05,7.59
Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,1.81,13.9,32.08,51.47
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
